product_name,price (INR),rating,product_page
Touch Ups Women's Maddy Platform Pump,"12,787.",4.3 out of 5 stars,amazon.in/Touch-Ups-Womens-Maddy-Platform/dp/B00HF82VZC/ref=sr_1_61?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-61
Clarks Women's CloudSteppers Sillian Intro Flat,"3,085.",4.0 out of 5 stars,amazon.in/Clarks-Womens-Sillian-Intro-Lizard/dp/B01AM6WGO4/ref=sr_1_62?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-62
The Dominatrix of FemDom Hell: Part 4 - Aroused and Caned by a Demoness (The Dominatrix of FemDom Hell - In Parts),"5,484.",4.2 out of 5 stars,amazon.in/Dominatrix-FemDom-Hell-Aroused-Demoness-ebook/dp/B00R1ILRQ0/ref=sr_1_63?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-63
LifeStride Women's Seamless Dress Pump,"1,395",4.1 out of 5 stars,amazon.in/LifeStride-Womens-Seamless-White-Vinci/dp/B011803RFU/ref=sr_1_64?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-64
Indigo Rd. Women's Langle,"11,114",4.2 out of 5 stars,amazon.in/Indigo-Rd-Womens-Langle-Tan/dp/B00XVRZHOS/ref=sr_1_65?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-65
Fergalicious Women's Lexy Western Boot,"9,177.",3.6 out of 5 stars,amazon.in/Fergalicious-Womens-Lexy-Wide-Western/dp/B00WVSUTTQ/ref=sr_1_66?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-66
XOXO Women's Karol Boot,0,4.1 out of 5 stars,amazon.in/XOXO-Womens-Karol-Boot-Black/dp/B00WGSS1IW/ref=sr_1_67?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-67
CL by Chinese Laundry Women's Nanette Super Sue Dress Pump,"4,661.",3.5 out of 5 stars,amazon.in/Chinese-Laundry-Nanette-Super-Sue/dp/B00VZ92AJY/ref=sr_1_68?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-68
Cole Haan Women's Elion Boot,"2,752.",4.4 out of 5 stars,amazon.in/Cole-Haan-Womens-Elion-Leather/dp/B00TE40LSY/ref=sr_1_69?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-69
Atelje 71 Women's Savannah Dress Sandal,"7,292.",3.4 out of 5 stars,amazon.in/Atelje-71-Womens-Savannah-Black/dp/B00SBOQQ4G/ref=sr_1_70?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-70
Atelje 71 Women's Soire Dress Sandal,"6,635.",3.8 out of 5 stars,amazon.in/Atelje-71-Womens-Soire-Bronze/dp/B00SBOPWFA/ref=sr_1_71?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-71
SoftWalk Women's Hollywood Wide Calf Winter Boot,"2,671.",4.1 out of 5 stars,amazon.in/SoftWalk-Hollywood-Wide-Calf-Graphite/dp/B00S01JZTS/ref=sr_1_72?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-72
Two Lips Women's Mandy Dress Pump,"14,795.",4.0 out of 5 stars,amazon.in/Two-Lips-Womens-Mandy-Zebra/dp/B00PNTW5PG/ref=sr_1_73?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-73
Joe's Jeans Women's Raven Dress Sandal,"11,250.",3.8 out of 5 stars,amazon.in/Joes-Jeans-Womens-Raven-Sandal/dp/B00OPOEPFS/ref=sr_1_74?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-74
Nina Women's Fantina YG Dress Sandal,"11,081.",3.7 out of 5 stars,amazon.in/Nina-Womens-Fantina-Sandal-Platino/dp/B00N4MAWEA/ref=sr_1_75?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-75
Propet Women's Taxi Pump,"33,734.",5.0 out of 5 stars,amazon.in/Propet-Womens-Taxi-Pump-Navy/dp/B00MW4Q93E/ref=sr_1_76?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-76
Touch Ups Women's Lydia Platform Pump,"3,496.",3.6 out of 5 stars,amazon.in/Touch-Ups-Womens-Lydia-Platform/dp/B00MA65XDQ/ref=sr_1_77?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-77
Cobb Hill Rockport Women's Ireland CH Enclosed Dress Sandal,"18,233.",3.3 out of 5 stars,amazon.in/Cobb-Hill-Womens-Ireland-T-Strap/dp/B00M1PFIB8/ref=sr_1_78?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-78
kate spade new york Women's Swenson Dress Sandal,"10,169.",4.2 out of 5 stars,amazon.in/kate-spade-new-york-Swenson/dp/B00JYAKSXG/ref=sr_1_79?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-79
French Sole FS/NY Women's Jigsaw Ballet Flat,"14,605.",4.0 out of 5 stars,amazon.in/French-Sole-FS-NY-Jigsaw/dp/B00FRGQMAE/ref=sr_1_80?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-80
Touch Ups Women's Jolee Pump,"9,415",3.5 out of 5 stars,amazon.in/Touch-Ups-Jolee-Champagne-Glitter/dp/B00CQI073O/ref=sr_1_81?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-81
BANDOLINO Women's Bacia Suede Boot,"15,205",4.0 out of 5 stars,amazon.in/BANDOLINO-Womens-Bacia-Suede-Boot/dp/B00VC8P9F0/ref=sr_1_82?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-82
Trotters Women's Sizzle Signature Ballet Flat,"14,550.",3.9 out of 5 stars,amazon.in/Trotters-Womens-Sizzle-Signature-Ballet/dp/B0073E67BM/ref=sr_1_83?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-83
Caparros Women's Savanna Dress Sandal,"36,318.",4.0 out of 5 stars,amazon.in/Caparros-Womens-Savanna-Dress-Sandal/dp/B00QU47MO2/ref=sr_1_84?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-84
Rocket Dog Women's SPOTLIGHT2 Odyssey Fabric Flip Flop,"5,103",3.5 out of 5 stars,amazon.in/Rocket-Dog-Womens-Spotlight-Black/dp/B014IBKADS/ref=sr_1_85?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-85
Vince Camuto Women's Tarma Dress Sandal,"30,718.",3.8 out of 5 stars,amazon.in/Vince-Camuto-Womens-Tarma-Sandal/dp/B00PB4YEZC/ref=sr_1_86?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-86
Qupid Women's Muse 1 Western Boot,"4,582.",4.0 out of 5 stars,amazon.in/Qupid-Muse-01-Western-Distress-Polyurethane/dp/B00JRU7OA8/ref=sr_1_87?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-87
Madden Girl Women's Eloisee Combat Boot,"8,609.",3.6 out of 5 stars,amazon.in/Madden-Girl-Eloisee-Women-Black/dp/B01E9TPLM4/ref=sr_1_88?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-88
"Dyeables, Inc Womens Paisley Dress Sandal","7,710.",3.6 out of 5 stars,amazon.in/Dyeables-Inc-Womens-Paisley-Champagne/dp/B00PD02P1O/ref=sr_1_89?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-89
Ripley MIMIS Series Burgundy Women Boots,"4,661.",3.5 out of 5 stars,amazon.in/Ripley-MIMIS-Burgundy-Women-Boots/dp/B075X1WGK8/ref=sr_1_90?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-90
Chinese Laundry Kristin Cavallari Women's Copertina Pump,"12,624.",3.9 out of 5 stars,amazon.in/Chinese-Laundry-Cavallari-Copertina-Glitter/dp/B00NQQ4QX2/ref=sr_1_91?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-91
Naturalizer Women's Haley,"4,029.",3.8 out of 5 stars,amazon.in/Naturalizer-Womens-Haley-Oxford-Leather/dp/B00UVA36VE/ref=sr_1_92?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-92
FRYE Women's Molly Button Tall-SMVLE Riding Boot,"1,399",4.1 out of 5 stars,amazon.in/FRYE-Womens-Button-Vintage-Leather/dp/B00R54Z43C/ref=sr_1_93?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-93
RBLS Women's Lorena Combat Boot,"10,046.",3.8 out of 5 stars,amazon.in/RBLS-Womens-Lorena-Combat-Brown/dp/B00M6MGO8C/ref=sr_1_94?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-94
BareTraps Women's Tatiana Riding Boot,"12,595.",4.5 out of 5 stars,amazon.in/BareTraps-Womens-Tatiana-Riding-Brown/dp/B00LGDVU9K/ref=sr_1_95?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-95
Clarks Women's Sage Copper Dress Pump,"31,272.",4.0 out of 5 stars,amazon.in/Clarks-Womens-Sage-Copper-Dress/dp/B00HR8H1IW/ref=sr_1_96?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-96
Lucky Women's Emmie Ballet Flat,"7,375.",2.5 out of 5 stars,amazon.in/Lucky-Brand-Emmie-Women-Ballet/dp/B00GRAS6QC/ref=sr_1_97?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-97
La Canadienne Women s Elizabeth Ankle Boot,"8,461.",4.0 out of 5 stars,amazon.in/Canadienne-Womens-Elizabeth-Ankle-Black/dp/B00770RD2E/ref=sr_1_98?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-98
Trotters Women's Doris Pump,"7,375.",,amazon.in/Trotters-Womens-Doris-Black-Soft/dp/B00307M3TQ/ref=sr_1_99?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-99
Dr. Martens Women's 1490 W 10 Eye Boot,"58,944.",,amazon.in/Dr-Martens-Womens-1490-Smooth/dp/B000NYIMQ2/ref=sr_1_100?keywords=stilleto+heels&qid=1557907270&s=gateway&sr=8-100
DEEANNE LONDON Women's Single Strap Block Heels,"5,634.",,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_1?ie=UTF8&adId=A06255043IQFIF7U5TG77&url=%2FDEEANNE-LONDON-Womens-Single-Strap%2Fdp%2FB07HNK1VJD%2Fref%3Dsr_1_101_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-101-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_btf
DEEANNE LONDON Women's Leather Sandals,599,,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_2?ie=UTF8&adId=A06885201CZOCHYGCVEQL&url=%2FDEEANNE-LONDON-Womens-Leather-Sandals%2Fdp%2FB07KN4KTK7%2Fref%3Dsr_1_102_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-102-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_btf
Inc.5 Women's Fashion Sandals,649,,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_3?ie=UTF8&adId=A0204897S4RZ7I8ITE50&url=%2FInc-5-Womens-Fashion-Sandals-6-28171%2Fdp%2FB07KYQNTDN%2Fref%3Dsr_1_103_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-103-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_btf
DEEANNE LONDON Woman's HIGH Heel (DN-81),"1,352",,amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg2_4?ie=UTF8&adId=A04871421GO4BJXHXM1YD&url=%2FDEEANNE-LONDON-Womens-Black-Swarovski-Heel-37%2Fdp%2FB07P1H72SH%2Fref%3Dsr_1_104_sspa%3Fkeywords%3Dstilleto%2Bheels%26qid%3D1557907270%26s%3Dgateway%26sr%3D8-104-spons%26psc%3D1&qualifier=1557907270&id=1482600287962987&widgetName=sp_btf
