product_name,brand_name,images,price,product_rating,no. of ratings
Harmeet Men's Sneaker Casual Canvas Shoes-Grey,Harmeet,"['https://images-na.ssl-images-amazon.com/images/I/418mugTB8dL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Nw5hLBivL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41QT9wZjRcL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41H2FKwlXtL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41l1IZddV9L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SP5aLYbRL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",379.00 -    419.00,4.3 out of 5 stars,8 customer reviews
VAZEE Men's Sneaker Shoes White Graphic Printed Canvas Stylish Footwear/Synthetic,VAZEE,"['https://images-na.ssl-images-amazon.com/images/I/41OrYi0VNOL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31t9da-XitL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/312%2BeF9krhL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/414dSn9HaeL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/311A0VbP40L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",399.00 -    449.00,3.6 out of 5 stars,22 customer reviews
Amazon Brand - Symbol Men's Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/41CYmZ0XULL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aRCgHxbsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41IOk0VwMSL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VuIchOE0L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41DENyefwjL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,049.00",4.0 out of 5 stars,86 customer reviews
Birde Men's Sneakers Casual Shoes- Combo Pack of 3,Birde,"['https://images-na.ssl-images-amazon.com/images/I/41Rlx1NkxkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",403.00 -    548.00,2.5 out of 5 stars,16 customer reviews
Puma Men's Starlight IDP Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/41JNRdtlKIL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31iY%2BrliP9L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31U-PdM2icL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ZN4RFf41L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31h48EYCIIL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Fd31k7RHL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,599.00 -    1,861.00",4.1 out of 5 stars,9 customer reviews
Digitrendzz Men's Sneakers/Casual Shoes/Shoes for Men's/Trendy Casuals/Stylish Sneakers/Unique Shoes,DIGITRENDZZ,"['https://images-na.ssl-images-amazon.com/images/I/31km1ujjrlL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31EHfU7a%2BoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31%2BMq5neyVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31WamGwGVwL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",280.00 -    499.00,3.2 out of 5 stars,20 customer reviews
Flooristo White Casual Sneakers Shoes for Men,Flooristo,"['https://images-na.ssl-images-amazon.com/images/I/31n3PrhBqUL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41P1bwMvirL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31-eSXKvm0L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41WoZpyoO-L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31WKouDtREL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",339.00 -    469.00,3.7 out of 5 stars,9 customer reviews
Big Fox Roman Sandals for Men,Big Fox,"['https://images-na.ssl-images-amazon.com/images/I/31xfxQ-M-SL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41U5cn9sMfL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41owlJ1hRoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31rFrINP13L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31r06tvBMSL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31jD3DlziVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31u5a4eAiLL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",404.00 -    499.00,3.3 out of 5 stars,435 customer reviews
Kraasa Men's Faux Leather Sneaker,Kraasa,"['https://images-na.ssl-images-amazon.com/images/I/51rzFxfNEmL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ZUBc-U9mL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51wi9EFiWGL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51%2Bdnx7DChL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51aPFPDsYEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51o7JItmrbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41xIUFXeIaL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",,3.0 out of 5 stars,"2,275 customer reviews"
Red Rose Casual Sneakers Shoe's for Men's.,Red Rose,"['https://images-na.ssl-images-amazon.com/images/I/31o7Z5FtOQL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31cd632Wr9L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31xt%2BvUYRSL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aFx%2BY1iXL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31pw2adbCYL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41VtTOyE7hL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",299.00 -    499.00,2.7 out of 5 stars,52 customer reviews
Ethics Men's Perfect Combo Pack of 2 Leather Multicolored Casual Sneakers Shoes for Men's,ETHICS,"['https://images-na.ssl-images-amazon.com/images/I/51YwaHgbvhL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51z4JL65kEL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mwr2D-kRL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/419VLIkgDJL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/514egqyE5YL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",549.00,3.5 out of 5 stars,557 customer reviews
ESSENCE Men's Synthetic High Top Shoes,ESSENCE,"['https://images-na.ssl-images-amazon.com/images/I/41iWx-HE1dL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41b-YCpJIzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41M1NVa%2BD7L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41wGijy-QSL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41EM7MaF1TL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41PzcmfuvUL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",499.00,3.7 out of 5 stars,397 customer reviews
Puma Men's Rapid Runner IDP Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/41yOLST6nfL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41D9GIkvX5L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41Y89CvSfjL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TNAbIxeqL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41F9dqrFVPL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,592.00 -    1,811.00",4.0 out of 5 stars,12 customer reviews
Extacy By Red Chief Men's EXT136 Leather Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/415qOEcOYrL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41IQoLflB9L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41JcDJwOuhL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AjLQFYUhL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,499.00",4.6 out of 5 stars,3 customer reviews
SCATCHITE Men's Canvas Combo Of 4 Casual Shoes,SCATCHITE,"['https://images-na.ssl-images-amazon.com/images/I/41%2BhfmjfSqL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41aP0J8uKuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31NpaUA85sL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31XUeWJNhUL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41AqT-VJ1SL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41sB3-HT6RL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31wfPI0fwkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",849.00 -    999.00,3.5 out of 5 stars,118 customer reviews
Amazon Brand - Symbol Men's Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/31aFxcHJARL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41I8Ht%2BkyRL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41nL3iKrm3L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41-hHeyzZVL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31EoJNQgLwL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","899.00 -    1,199.00",3.5 out of 5 stars,39 customer reviews
Chevit Men's Combo Pack of 2 Casual Shoes (Sneakers Shoes),Chevit,"['https://images-na.ssl-images-amazon.com/images/I/511olMP-XoL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31ao6EFiyRL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41U21PrjYBL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31haQDERo1L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41gyR0L-lML._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kcOYcTggL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51Dk7GK9NuL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",329.00 -    549.00,2.8 out of 5 stars,26 customer reviews
Boltt Envy Smart Casual Sneakers for Men,Boltt,"['https://images-na.ssl-images-amazon.com/images/I/31o7Z5FtOQL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4153VH31zdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31zbvA4nYkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/410zJl0OygL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41IqPzPm-kL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31x0hne2jzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",439.00 -    599.00,3.3 out of 5 stars,19 customer reviews
Red Rose Men's Blue Loafer Shoes,Red Rose,"['https://images-na.ssl-images-amazon.com/images/I/41twpxpAdUL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41iR2V9YLxL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/413vlY75QAL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LSy5Vqi-L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41TdscQLmwL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415EhRYqA8L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",399.00 -    499.00,3.0 out of 5 stars,275 customer reviews
Boombi BM009-menclog,Boombi,"['https://images-na.ssl-images-amazon.com/images/I/41%2BczqrAq4L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/417%2BTpHIWsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/416SsTYYHmL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/415lCDGpc4L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41SOaSpKLLL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",510.00 -    599.00,3.8 out of 5 stars,67 customer reviews
Suttho Men's Driving Loafer Shoes,Suttho,"['https://images-na.ssl-images-amazon.com/images/I/411UkyeXLjL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Cf-wj9cLL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31nWUY%2BImsL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41MDHgDwcqL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/4181%2Bhv75iL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",499.00,3.7 out of 5 stars,15 customer reviews
Extacy By Red Chief Men's EXT137 Leather Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/41S2nax1%2BdL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41bF8MECRaL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41FZ8ehstnL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41LyGor4XwL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,399.00 -    1,499.00",5.0 out of 5 stars,1 customer review
ETHICS Blue Rubber Clogs for Men's,ETHICS,"['https://images-na.ssl-images-amazon.com/images/I/31x3g1HuqPL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41UYfLz9NbL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31rpfrytE9L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/311G00tItzL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Po%2B8OmAXL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/313nGznwm6L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']",230.00 -    299.00,3.8 out of 5 stars,6 customer reviews
Bond Street by (Red Tape) Men's Sneakers,Bond Street by (Red Tape),"['https://images-na.ssl-images-amazon.com/images/I/41w12wEP%2BhL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/51oxhOXbLkL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41kMNu32FfL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31QSUoGzGxL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/412kwGN4anL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/31Fd76h153L._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41mPNcvN2eL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","688.00 -    2,076.00",4.0 out of 5 stars,"1,255 customer reviews"
Extacy By Red Chief Men's Ext135 Leather Sneakers,,"['https://images-na.ssl-images-amazon.com/images/I/413NIOKhaFL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41U6Vq1FRvL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41tssKL6ygL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/I/41ZU%2BS342XL._US40_.jpg', 'https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/transparent-pixel._V192234675_.gif']","1,484.00 -    1,574.00",2.9 out of 5 stars,8 customer reviews
